Competition,Type,actual_rank,Athlete First Name,Athlete Last Name,score_qualification_B&L,score_sf_B&L,score_final_B&L,score_qualification_boulder,score_sf_boulder,score_final_boulder,score_qualification_lead,score_sf_lead,score_final_lead
Olympics Tokyo 2021 - Finals - Women,Lead,1,Janja,Garnbret,,,,,,,,,37
Olympics Tokyo 2021 - Finals - Women,Lead,2,Chaehyun,Seo,,,,,,,,,35
Olympics Tokyo 2021 - Finals - Women,Lead,3,Jessica,Pilz,,,,,,,,,34
Olympics Tokyo 2021 - Finals - Women,Lead,4,Akiyo,Noguchi,,,,,,,,,29
Olympics Tokyo 2021 - Finals - Women,Lead,5,Miho,Nonaka,,,,,,,,,21
Olympics Tokyo 2021 - Finals - Women,Lead,6,Brooke,Raboutou,,,,,,,,,20
Olympics Tokyo 2021 - Finals - Women,Lead,7,Anouck,Jaubert,,,,,,,,,13
Olympics Tokyo 2021 - Finals - Women,Lead,8,Aleksandra,Miroslaw,,,,,,,,,9
Olympics Tokyo 2021 - Qualifications - Men,Boulder,1,Mickael,Mawem M.,,,,3T4z 4 5,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,2,Tomoa,Narasaki,,,,2T4z 6 7,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,3,Adam,Ondra,,,,2T3z 7 11,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,4,Aleksey,Rubtsov,,,,2T2z 7 4,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,5,Colin,Duffy,,,,2T2z 17 12,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,6,Alexander,Megos,,,,1T4z 2 15,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,7,Jakob,Schubert,,,,1T3z 2 13,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,8,Pan,Yufei,,,,1T3z 2 15,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,9,Jan,Hojer,,,,1T3z 3 8,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,10,Chon,Jong-won,,,,1T3z 3 10,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,11,Nathaniel,Coleman,,,,1T3z 4 6,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,12,Kai,Harada,,,,1T2z 4 8,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,13,Michael,Piccolruaz,,,,1T2z 5 7,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,14,Alberto,Gines Lopez,,,,1T1z 12 4,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,15,Sean,McColl,,,,0T2z 0 3,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,16,Christopher,Cosser,,,,0T2z 0 15,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,17,Rishat,Khaibullin,,,,0T1z 0 3,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,18,Bassa,Mawem B.,,,,0T1z 0 4,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,19,Ludovico,Fossali,,,,0T0z 0 0,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Boulder,20,Tom,O'Halloran,,,,0T0z 0 0,,,,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,1,Jakob,Schubert,,,,,,,42,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,2,Colin,Duffy,,,,,,,42,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,3,Alberto,Gines Lopez,,,,,,,41,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,4,Adam,Ondra,,,,,,,39,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,5,Nathaniel,Coleman,,,,,,,39,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,6,Alexander,Megos,,,,,,,36,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,7,Pan,Yufei,,,,,,,36,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,8,Sean,McColl,,,,,,,35,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,9,Jan,Hojer,,,,,,,29,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,10,Christopher,Cosser,,,,,,,29,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,11,Mickael,Mawem M.,,,,,,,28,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,12,Michael,Piccolruaz,,,,,,,28,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,13,Rishat,Khaibullin,,,,,,,28,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,14,Tomoa,Narasaki,,,,,,,26,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,15,Aleksey,Rubtsov,,,,,,,26,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,16,Chon,Jong-won,,,,,,,26,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,17,Kai,Harada,,,,,,,25,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,18,Ludovico,Fossali,,,,,,,25,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,19,Tom,O'Halloran,,,,,,,25,,
Olympics Tokyo 2021 - Qualifications - Men,Lead,20,Bassa,Mawem B.,,,,,,,7,,
Olympics Tokyo 2021 - Finals - Men,Boulder,1,Nathaniel,Coleman,,,,,,2T3z 4 4,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,2,Mickael,Mawem M.,,,,,,1T3z 1 3,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,3,Tomoa,Narasaki,,,,,,1T3z 1 5,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,4,Colin,Duffy,,,,,,1T3z 1 5,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,5,Jakob,Schubert,,,,,,1T3z 1 7,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,6,Adam,Ondra,,,,,,1T2z 2 2,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,7,Alberto,Gines Lopez,,,,,,0T3z 0 9,,,
Olympics Tokyo 2021 - Finals - Men,Boulder,8,Bassa,Mawem B.,,,,,,0T3z 0 0,,,
Olympics Tokyo 2021 - Finals - Men,Lead,1,Jakob,Schubert,,,,,,,,,43
Olympics Tokyo 2021 - Finals - Men,Lead,2,Adam,Ondra,,,,,,,,,42
Olympics Tokyo 2021 - Finals - Men,Lead,3,Colin,Duffy,,,,,,,,,40
Olympics Tokyo 2021 - Finals - Men,Lead,4,Alberto,Gines Lopez,,,,,,,,,38
Olympics Tokyo 2021 - Finals - Men,Lead,5,Nathaniel,Coleman,,,,,,,,,34
Olympics Tokyo 2021 - Finals - Men,Lead,6,Tomoa,Narasaki,,,,,,,,,33
Olympics Tokyo 2021 - Finals - Men,Lead,7,Mickael,Mawem M.,,,,,,,,,23
Olympics Tokyo 2021 - Finals - Men,Lead,8,Bassa,Mawem B.,,,,,,,,,0
